Date,Open,High,Low,Close,Volume,Adj Close
1999-09-16,17703.970703,17703.970703,17058.130859,17291.589844,000,17291.589844
1999-09-14,17880.990234,17880.990234,17610.310547,17777.220703,000,17777.220703
1999-09-13,17735.599609,17988.589844,17735.599609,17909.289062,000,17909.289062
1999-09-10,17648.890625,17831.599609,17589.050781,17711.019531,000,17711.019531
1999-09-09,17707.089844,17859.710938,17677.279297,17677.560547,000,17677.560547
1999-09-08,17710.019531,17710.019531,17509.730469,17641.380859,000,17641.380859
1999-09-07,17777.919922,17858.130859,17651.939453,17707.50,000,17707.50
1999-09-06,17664.060547,17839.710938,17664.060547,17756.509766,000,17756.509766
1999-09-03,17632.099609,17716.740234,17559.400391,17629.990234,000,17629.990234
1999-09-02,17795.400391,17800.800781,17630.320312,17631.25,000,17631.25
1999-09-01,17479.570312,17819.599609,17479.570312,17802.480469,000,17802.480469
1999-08-31,17886.199219,17886.199219,17425.490234,17436.560547,000,17436.560547
1999-08-30,17642.050781,17925.070312,17642.050781,17918.970703,000,17918.970703
1999-08-27,17710.970703,17816.669922,17567.859375,17599.369141,000,17599.369141
1999-08-26,17863.910156,17995.490234,17666.289062,17666.289062,000,17666.289062
1999-08-25,18099.230469,18164.990234,17795.080078,17855.160156,000,17855.160156
1999-08-24,18266.220703,18397.929688,18095.410156,18095.410156,000,18095.410156
1999-08-23,18133.199219,18384.859375,18133.199219,18233.550781,000,18233.550781
1999-08-20,17907.519531,18123.289062,17907.519531,18098.109375,000,18098.109375
1999-08-19,17843.109375,17923.300781,17665.970703,17879.740234,000,17879.740234
1999-08-18,17873.310547,18082.470703,17827.890625,17892.259766,000,17892.259766
1999-08-17,17842.970703,17916.080078,17766.689453,17860.089844,000,17860.089844
1999-08-16,17499.119141,17937.210938,17499.119141,17826.029297,000,17826.029297
1999-08-13,17430.050781,17493.949219,17284.699219,17435.169922,000,17435.169922
1999-08-12,17280.789062,17476.679688,17280.789062,17422.970703,000,17422.970703
1999-08-11,17185.699219,17361.820312,17097.410156,17211.160156,000,17211.160156
1999-08-10,17188.869141,17203.390625,17040.720703,17202.089844,000,17202.089844
1999-08-09,17105.929688,17313.970703,17095.50,17190.449219,000,17190.449219
1999-08-06,17345.529297,17345.529297,17046.119141,17084.240234,000,17084.240234
1999-08-05,17638.929688,17638.929688,17210.039062,17358.189453,000,17358.189453
1999-08-04,17913.619141,17913.619141,17631.810547,17685.380859,000,17685.380859
1999-08-03,17824.679688,17969.929688,17597.740234,17969.929688,000,17969.929688
1999-08-02,17827.240234,17909.890625,17726.050781,17825.699219,000,17825.699219
1999-07-30,17857.910156,17959.279297,17677.140625,17861.859375,000,17861.859375
1999-07-29,17633.339844,17957.369141,17633.339844,17869.919922,000,17869.919922
1999-07-28,17508.660156,17729.679688,17508.660156,17579.910156,000,17579.910156
1999-07-27,17484.359375,17613.240234,17367.080078,17462.720703,000,17462.720703
1999-07-26,17568.320312,17663.220703,17491.339844,17491.339844,000,17491.339844
1999-07-23,17657.169922,17657.169922,17414.359375,17534.439453,000,17534.439453
1999-07-22,18221.070312,18221.070312,17665.039062,17730.339844,000,17730.339844
1999-07-21,18458.580078,18458.580078,18182.910156,18257.519531,000,18257.519531
