"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
46;-7.42808590539947;-7.97949600928866;-7.91478571546015;-6.3136207674084;-6.92556030700837;-6.73107358985881;-8.16550151506055;-7.80543352299465;-7.26404859595072;-6.89072284802923;-7.17026761071767;-7.91533819658775;-6.22869404931605;-5.42730359227054;-6.24611046594298;-7.44855819384235;-5.27333799353155;-5.86145595029907
47;-8.14245568401936;-8.25108066047092;-7.97498657398882;-7.04528133762063;-7.37717810220914;-7.7159191110797;-6.90504026998001;-7.41831797723476;-7.69281331162388;-7.31896069179029;-7.15685782145995;-7.75997356658632;-7.07761507978928;-7.93406037853732;-8.43734901763128;-5.62163796945725;-6.68467558877427;-7.23152705976893
48;-7.33419919425325;-7.6233343762439;-7.77894026955552;-6.87702321689969;-6.90777490714658;-6.77112636496168;-6.75453934292097;-7.99439316207887;-7.68810427569966;-6.41370451411857;-7.7285037870729;-8.70125254459238;-5.85641687137527;-6.0097041004498;-6.34791992455002;-6.75702170638513;-7.40604904488677;-7.12016139154664
49;-7.06559393722277;-8.10490161264102;-7.83961067105418;-6.67807004475819;-7.41438534626415;-6.88974465680721;-6.60882577105324;-8.62064838813785;-7.49824631726937;-7.05970523312875;-7.74022939190491;-10.1447038014749;-8.6199016336117;-5.41824529525343;-7.09949490572587;-7.27109341099382;-5.99770651513189;-5.71610906375231
50;-6.89601457854107;-7.25911830845401;-7.24263198684868;-6.54992606076804;-7.11115673066052;-6.32526949104011;-6.27128118633992;-7.95089606580083;-6.76650232333908;-6.36920881358688;-6.45238770828772;-7.90852327794132;-6.28762776535391;-6.34156047278409;-6.354020533746;-5.5334154464981;-5.62714401580835;-6.8687522761368
51;-7.69886600716295;-7.93212704460062;-7.67518936633629;-7.32908700773284;-8.86779821605688;-7.87556812868916;-7.30757214350331;-8.68716735467379;-7.86946140878298;-6.70044089693101;-7.15375416596286;-6.32669913830611;-9.17756708274226;-6.65624615423189;-7.57370854667572;-7.14440342254406;-9.96334698102415;-7.66368112970525
52;-7.21286824202412;-7.49267503840191;-7.25969445071805;-7.35531896770723;-7.6366931567344;-7.22676014189339;-7.14123222649871;-8.07392878460069;-7.48100284602162;-6.31302251246687;-6.02198132462582;-6.90733668646696;-8.55272210085406;-7.42121000579006;-7.77895861634175;-5.53201798975208;-7.79747657771551;-7.8343023608755
53;-6.41323225507869;-7.0361629357857;-7.28687231910437;-6.57630595511812;-8.0250151573882;-791.129398738498;-7.68022460836331;-8.02906988352899;-7.20287960556908;-6.83367265305514;-8.58399104041573;-5.67260058618767;-6.53087348994749;-6.78947495192559;-7.73701137123332;-6.59481025995346;-6.00554886693392;-6.79594084124001
54;-6.98961856527573;-7.57750777945386;-7.69486919497333;-7.4701579376592;-6.15503976491193;-7.17590270371891;-7.61793489441817;-8.3554368071702;-6.71952153843524;-6.77130393724979;-6.06526562668239;-7.6272144180427;-6.30343584331504;-7.11959118871749;-7.37991459275095;-8.0652864361049;-7.29899968459833;-6.51782588442576
55;-7.23504746141976;-7.98159212445941;-7.56485030634487;-6.53026781122071;-6.51763466617699;-7.27873598168145;-6.44096973073501;-7.37314102666582;-7.22501705831911;-7.13897476260334;-6.45561676122401;-9.40247001901287;-5.45247726320157;-6.69803866584818;-6.76606609392574;-5.3202060727538;-7.03247872999946;-6.94197722085249
56;-7.14443144896425;-7.5696300664666;-7.53243331473615;-6.04178724378633;-6.82304480014188;-6.54410728320099;-6.83591922831178;-7.76189506512848;-6.76613760632671;-7.41126356606146;-8.227491411481;-6.34605105182676;-7.17110535125071;-5.63131754815883;-5.82714608478884;-6.09642501141566;-5.60242595040818;-7.0171648665278
57;-7.48266630065232;-8.01675620752984;-7.93242301694307;-7.38700918712651;-8.57687325938068;-7.49746666299281;-8.39287570127353;-8.62285789554521;-8.10130962876623;-9.5809878468591;-8.75106862026773;-7.78203868666024;-5.05073923380651;-10.1870512210146;-7.03216808675685;-7.11385072883601;-10.6958229388217;-9.96198894575499
58;-7.42838898476922;-7.90512698091151;-7.59086362506302;-7.17266133702057;-7.92848072749435;-7.05338540197268;-7.70972217472835;-8.24985943025381;-7.28690125369805;-9.96644488867277;-6.41560194711112;-7.1118274496562;-7.21329813693891;-5.40916806058205;-7.65859518784815;-5.39933190824039;-6.3410131289192;-6.91628399944391
59;-7.10443120650425;-7.70563298179506;-7.40721165980522;-7.11152869656541;-6.91147975816772;-6.81972479439995;-7.60604463962259;-8.01739595069618;-7.55366617074671;-6.88641386486888;-5.88491481137762;-7.28674387379794;-5.14882725338605;-7.37892103569363;-8.59489432601342;-6.72431727436939;-6.37806835115046;-7.81539398201887
60;-7.09564417127081;-7.73285342682019;-7.05166388537059;-6.66891467569491;-5.84404986662051;-6.26919726148537;-7.23955487920902;-7.91284012761109;-7.03635558440096;-7.24034988386163;-6.8597797419262;-6.6478530024601;-6.74297398679515;-5.82653254107782;-7.38723429128615;-6.23584846403949;-5.5621944397005;-9.145078568226
61;-6.77603317814976;-7.17275318422854;-6.79794469174077;-6.55638729288259;-6.36927157475646;-6.72475261723896;-6.22775911964395;-7.3416150688631;-7.77573960626132;-6.56659940988432;-7.42736444696567;-5.18228358853932;-5.20516463613496;-6.17104246395755;-5.92443083045796;-7.43867998007632;-5.27145788033392;-8.89198306348562
62;-6.5575295499282;-7.04665418882087;-6.71163519988042;-6.58778689003984;-6.6331748381412;-6.75157881053447;-6.84491473232595;-7.87310215125434;-7.08025652115986;-5.57113379748297;-7.03871948624379;-5.39215329239739;-5.40756003147781;-5.24024160431115;-6.2892018723651;-7.45214122652483;-8.01614011630983;-5.77529945777147
63;-6.38395415264196;-6.48223314433043;-6.82532837423037;-6.38678455094652;-6.49318936883052;-6.23169092899532;-6.84735461260658;-7.63620024841309;-6.66600305050038;-5.38283140467527;-6.38451329015362;-4.89430853053973;-6.39445525172638;-6.03769249834846;-4.91323225777045;-6.32964787355548;-5.59590221121921;-5.44497154567759
64;-7.94831052508697;-7.99542897071007;-8.18900667697991;-6.15586219543106;-6.74773150097418;-6.26700209974759;-7.00449668615645;-6.96655028274164;-6.38045522829271;-7.73735153637818;-8.39210609450973;-7.18365196977441;-6.40693372879092;-5.34575828770567;-6.49507770246829;-6.00234442959341;-5.7118302180456;-7.50241276183852
65;-7.57682048593366;-7.63729391757877;-7.78424973664991;-6.3993531052002;-6.18210467182116;-5.93554730084589;-5.97748803981758;-6.85442306831986;-6.56472950918844;-8.14481850243681;-6.33612579253832;-6.08792745940838;-5.63711923507258;-6.10872135359738;-5.26733546939217;-5.31785196600418;-6.28905670473086;-6.65523296182007
66;-7.14837085481118;-8.13333686231378;-7.48434204265354;-6.89248322015759;-7.49345505511875;-6.37298008518873;-7.32180702189669;-7.65144265333698;-7.40271455217517;-7.98853627349599;-7.23117325272526;-6.97787789578114;-5.91357241902718;-6.8981007017309;-6.29974161286178;-7.17076354839797;-6.18439832154989;-5.77401092088723
67;-6.91995594849207;-7.7295817073031;-7.23376306347824;-6.37885038786349;-7.00174174702012;-6.32177812621645;-5.93011711948537;-6.75021026108063;-6.64777481967235;-7.74125511583776;-7.26322953327452;-6.73811859322618;-5.38394668499712;-6.66951373736475;-5.53820221199591;-6.16355624632104;-6.42091863008654;-5.17321565572853
68;-7.00816253638688;-6.91704979779851;-7.3396616975091;-5.89221242097756;-6.80140337220942;-6.07066848649897;-6.00827658551154;-7.17721719896528;-6.33172633557768;-6.10746359925436;-7.11696021783473;-6.20238316930317;-5.36143330767578;-6.87175897368689;-5.10767261985203;-5.53252018902201;-6.50451052876355;-6.14728106731671
