"iteration";"fit.mle.sGARCH.norm";"fit.mle.sGARCH.skewnorm";"fit.mle.sGARCH.t";"fit.mle.eGARCH.norm";"fit.mle.eGARCH.skewnorm";"fit.mle.eGARCH.t";"fit.mle.gjrGARCH.norm";"fit.mle.gjrGARCH.skewnorm";"fit.mle.gjrGARCH.t";"fit.bayes.sGARCH.norm";"fit.bayes.sGARCH.skewnorm";"fit.bayes.sGARCH.t";"fit.bayes.eGARCH.norm";"fit.bayes.eGARCH.skewnorm";"fit.bayes.eGARCH.t";"fit.bayes.gjrGARCH.norm";"fit.bayes.gjrGARCH.skewnorm";"fit.bayes.gjrGARCH.t"
61;-3.88870166718225;-3.99654520895913;-3.94764866620767;-3.45875601845923;-3.44925539331257;-3.57262872694604;-3.54126142161273;-4.17062321964351;-4.03125697446905;-3.77482639179494;-3.95931962411478;-4.00502453937625;-2.99854454476291;-3.15111341788721;-3.4606291156135;-3.42058987786938;-3.67937434246692;-3.69200470342441
62;-3.75603646114728;-3.94977775281849;-3.88512113204784;-3.46500671396781;-3.60772523394275;-3.55636397719003;-3.62579577460521;-4.2236159188456;-3.72565691454663;-3.50899801356093;-3.90874785471924;-3.83333608953811;-3.35830492043044;-3.48912144955119;-3.69795219052656;-3.81843654219254;-3.70715719574904;-3.94245677101479
63;-3.59972080206025;-3.73752774249836;-3.7282963073479;-3.39191263691453;-3.56739664084862;-3.37913972025379;-3.4834780065665;-4.08861006342249;-3.58344358687651;-3.59066005579945;-3.78071627746661;-3.73582423878421;-3.65353034433145;-3.81334239470784;-3.65149357317273;-3.53552279963362;-3.44294512843003;-3.62728211740739
64;-4.43422737354307;-4.63573759805265;-4.68297133935925;-3.63235577712011;-3.76099726856168;-3.33726798262188;-3.9304884577369;-4.21953878274849;-3.55925545949864;-4.50157179093875;-4.7604528952421;-4.792853975775;-3.06741351267602;-3.34584983109982;-3.52837761518285;-3.64622704035914;-3.69118365373994;-3.65759798107356
65;-4.30070421701832;-4.40919480920252;-4.47476970771303;-3.43685131389271;-3.44732180331542;-3.22992744562261;-3.09121375022437;-3.54803412336832;-3.43823565352804;-4.5376442260487;-4.50219344274032;-4.57394186242925;-3.11657662170179;-2.99383173331251;-3.41235077110154;-3.01779975880699;-3.56356449502709;-3.70515119411572
66;-4.26251579329769;-4.40081042210751;-4.4040187236297;-3.7175225714135;-4.09561180764412;-3.51152772291471;-4.056197154589;-4.41544729533207;-3.8856378344619;-4.18184874498343;-4.44445518802593;-4.36457017846758;-3.62192534847508;-4.05973987218029;-3.65978383927574;-3.66012093900225;-3.79563372745648;-3.64612193952871
67;-3.92891486016788;-4.25104214111181;-4.1434497340682;-3.58419954266641;-3.61471671727241;-3.39735693669144;-3.42941292742438;-3.94882763099194;-3.58709876819104;-3.92696746749958;-4.12202831211501;-4.2009238398289;-3.32612040478933;-3.46592033471384;-3.52931100423283;-3.52593980820409;-3.71700651087931;-3.9306453098727
68;-3.87736840796286;-4.03521510249425;-3.96784858448793;-3.09524174101839;-3.66986241214631;-3.18043983092575;-3.36730523527222;-4.09325591620765;-3.40312639409506;-3.88310115931096;-3.79561482167583;-4.02736204515882;-3.1211664313511;-3.10395865495337;-3.4112648266546;-3.21884182693002;-3.5129604237188;-3.75295362924616
69;-3.74179453991502;-3.96360647984314;-3.92898864477214;-3.59666263748468;-3.82462893796257;-3.53101011545697;-3.43215234808884;-4.0885659127951;-3.55997035178336;-3.75730425562796;-4.13313237374877;-4.08869996746583;-3.42797906961196;-3.86670447655122;-3.72124461229316;-3.49664782813797;-3.59600244137246;-3.73365289417719
70;-3.56342572531618;-3.8358216688438;-3.76930406022003;-3.14101313887459;-3.5253193584641;-3.33910781946127;-3.29557101367788;-3.94749809026915;-3.3827835530069;-3.62481861949914;-3.55734152236249;-3.87274713525816;-3.38134471667906;-3.30612274886863;-3.67560059846531;-3.49477756668801;-3.4134127882384;-3.83390507002938
71;-3.51800314543242;-3.75678777308301;-3.65987999524452;-3.11237908879404;-3.36504038404711;-3.1745758714457;-3.23135567282654;-3.96783585936754;-3.28003835628284;-3.5182248168632;-3.63117273306158;-3.69927795958503;-3.19813307189751;-3.34453436820864;-3.3867569935147;-3.35266731114733;-3.39517906826619;-3.47389067631321
72;-3.42402196338279;-3.67879331783463;-3.63165075359084;-3.09245343934615;-2.99885843308832;-3.04761485544098;-3.07547694634508;-3.83180570428813;-3.15434425007002;-3.45270000046739;-3.61044968132509;-3.63410557951966;-2.86101793726042;-3.16845618662389;-3.29466471953314;-3.05950003675772;-3.19867627484505;-3.49102149012801
73;-3.27011683025965;-3.56686006634743;-3.46487942449246;-3.53554654504532;-3.31295886194555;-3.20712323800159;-3.98698449800344;-3.81444139228966;-3.14770156954721;-3.30497062168866;-3.28971961767756;-3.55884254004213;-2.98869031100407;-3.09343730988497;-3.31621077633101;-3.09973240062822;-3.27229219770504;-3.26528593303111
74;-4.13502516427432;-4.30797303082209;-4.10335000168246;-4.20533939201955;-4.56696048992919;-4.1086462996489;-4.72217203592752;-4.93529161579932;-4.53782192447713;-4.06751056394794;-4.12447144185723;-4.2935492136622;-5.12892804460734;-4.21683579876715;-4.55464862882308;-4.61904631810356;-4.80037949185305;-4.83529400064134
75;-3.81258210029463;-4.21006216979026;-4.01900447621341;-4.049999503773;-3.93880481309863;-3.95481578945534;-3.98547282636406;-4.68857566483275;-4.31536457042424;-4.18359430648429;-3.74869047069944;-4.11850369670903;-3.81817927601926;-4.53183067300935;-4.41500337008535;-4.04830508632871;-4.46208845913222;-4.48998225369527
76;-4.01205029240985;-4.1437679174558;-4.0792984321566;-4.2530762880737;-4.39926670841356;-4.57509224946673;-4.49057379593495;-4.84432790651466;-4.48736225348462;-3.8820970742218;-4.21352320342167;-4.20485017653051;-4.15753256136606;-4.48491371219348;-4.38876428494793;-4.52505007467926;-4.37013257257462;-4.76084103356171
77;-3.76423704370122;-4.01825842443895;-4.0306474450585;-3.98101226686995;-4.38930234608984;-4.10325200471611;-4.0552158090501;-4.64546209249574;-4.25495367025261;-3.90119470691823;-3.89650237573475;-3.90185703300702;-4.11098018466511;-4.20222653474161;-4.19055693859105;-4.18776334684538;-4.24128233266941;-4.32970760005103
